text,predicted_label
halhal gin bahaya jadi banyak orang takut nikah sunah rasululah saw,tekanan sosial
iyasih kak kek aneh gasih kalo temenan dulu siapa tau nyaman kalo nyaman susah takut pacar takut ngerusak hubung wkwkwk mending htstmbestie trus tiba nikah awokawokawok,tekanan sosial
lbh takut lose myself kalo nikah entah tuntut suami diri sendiri,tekanan sosial
mimpi nikah temen sendiri kocak untung cuma mimpi takut,tekanan sosial
awal kaget job lebih kaget umur chan hwan thn kirain an aku takut jadi halang hub jiwon cocok visi misi nikah pas age gap th,tekanan sosial
umur gin pikirin gimana karir lebih bagus depan cinta takut nikah takut sendiri,tekanan sosial
takut habis nikah nari makan abis mamat,tekanan sosial
aku kira akhirakhir banyak takut nikah milih childfre didik anak mahal apa cuman buble twiter doang jadi inget masa pilpres,tekanan sosial
kamu bayang sebombay apa pas akad nikah bleh gausah meap takut rusak total,trauma masa lalu
kemenag ngadain nikah gratis mending brainstorming ulang apa cocok adain indo mending mikir gimana angka cerai turun gada konten maried is scary terus gen z jadi takut nikah,tekanan sosial
mudah takut ngerasa nyesel nikah pasang aku ngerasa nyesel nikahin aku pait,takut gagal membangun keluarga
beberapa hari banyak orang folow spamlike bahkan dm pas cek punya cewe nikah bahkan punya anak setan gabikin takut cowo iya,tekanan sosial
nangisin sahabat takut kalo doi nikah pergi jauh jadi sahabat kota,tekanan sosial
dulu pas nikah aku takut kalau kurang makanya aku saving uang banyak mungkin nikah hura tahu nikah hidup gimana,tekanan sosial
gin takut pikir orangorang putus childfre nikah aneh emang orang milih childfre nikah indo tuh selalu lebih sedikit milih anak nikah,takut gagal membangun keluarga
moga hubung lanjut bukan doain jelek justru doain baik nder pacar hina begini bayang kalo nikah kaya gimana kalo amit mandiri finansial takut dinjek lunya nder,tekanan sosial
orang nikah emang se rese peduli ortu kalo nyinyirin kamiorang rumah paling depan takut uang ortu habis kamitermasuk ortu rumah tindak takut uang ortunya habis aku kakak,tekanan sosial
hah apa indonesia jadi takut guague nikah jadi makin ovt kalo punya anak gimana cara jaga didik takut beneran,tekanan sosial
kalo nikah emang takut jaim skynani gret shabushi skynani,tekanan sosial
salah satu alas gen z takut nikah,tekanan sosial
jangan aku jadi takut kira mau nikah beneran,tekanan sosial
mau blg nyokap anak angkat mau nikah takut tagih,tekanan sosial
kalah devasa pas devasa nikah takut raskha,tidak percaya pasangan
kalo nikah emang takut jaim skynani gret shabushi skynani,tekanan sosial
hah apa indonesia jadi takut guague nikah jadi makin ovt kalo punya anak gimana cara jaga didik takut beneran,tekanan sosial
gin takut pikir orangorang putus childfre nikah aneh emang orang milih childfre nikah indo tuh selalu lebih sedikit milih anak nikah,takut gagal membangun keluarga
moga hubung lanjut bukan doain jelek justru doain baik nder pacar hina begini bayang kalo nikah kaya gimana kalo amit mandiri finansial takut dinjek lunya nder,tekanan sosial
orang nikah emang se rese peduli ortu kalo nyinyirin kamiorang rumah paling depan takut uang ortu habis kamitermasuk ortu rumah tindak takut uang ortunya habis aku kakak,tekanan sosial
dulu pas nikah aku takut kalau kurang makanya aku saving uang banyak mungkin nikah hura tahu nikah hidup gimana,tekanan sosial
nangisin sahabat takut kalo doi nikah pergi jauh jadi sahabat kota,tekanan sosial
beberapa hari banyak orang folow spamlike bahkan dm pas cek punya cewe nikah bahkan punya anak setan gabikin takut cowo iya,tekanan sosial
mudah takut ngerasa nyesel nikah pasang aku ngerasa nyesel nikahin aku pait,takut gagal membangun keluarga
kemenag ngadain nikah gratis mending brainstorming ulang apa cocok adain indo mending mikir gimana angka cerai turun gada konten maried is scary terus gen z jadi takut nikah,tekanan sosial
kamu bayang sebombay apa pas akad nikah bleh gausah meap takut rusak total,trauma masa lalu
aku kira akhirakhir banyak takut nikah milih childfre didik anak mahal apa cuman buble twiter doang jadi inget masa pilpres,tekanan sosial
takut habis nikah nari makan abis mamat,tekanan sosial
umur gin pikirin gimana karir lebih bagus depan cinta takut nikah takut sendiri,tekanan sosial
awal kaget job lebih kaget umur chan hwan thn kirain an aku takut jadi halang hub jiwon cocok visi misi nikah pas age gap th,tekanan sosial
mimpi nikah temen sendiri kocak untung cuma mimpi takut,tekanan sosial
lbh takut lose myself kalo nikah entah tuntut suami diri sendiri,tekanan sosial
iyasih kak kek aneh gasih kalo temenan dulu siapa tau nyaman kalo nyaman susah takut pacar takut ngerusak hubung wkwkwk mending htstmbestie trus tiba nikah awokawokawok,tekanan sosial
halhal gin bahaya jadi banyak orang takut nikah sunah rasululah saw,tekanan sosial
pagipagi rapihin bayi bogel masuk kandang diliatin mamak mk mending nikah urus anak beneran takut gila aku mak gatau anak bogel hasil nikah bapak mk tuhkan muncul gejala,tidak percaya pasangan
joging gagal ngapain kalau bengong takut pikir kapan nikah,tekanan sosial
iya ngeliat mbak ipar jadi takut nikah digituin,tekanan sosial
emang kalo tuju hidup ngonser orang tuju hidup nikahdengan banyak luka aku terima keluarga kadang aku takut nikah gamau punya keluarga kaya keluarga sekarang,tekanan sosial
jongdunk usah balik thai kalau nikah takut asing lagifkjd fm in nyctheheartkilersfminewyorktheheartkilersusandlatamtour,tekanan sosial
numpang curhat guys aku sering mimpi beneran jadi nyata makanya aku takut tiap mimpi bangun degdegan gt contoh aku mimpi temenku nikah temenku tahun nah tahun beneran nikah bulan juni,tekanan sosial
takut kangen mama kalau nikah,tekanan sosial
bginian bkin takut nikah pikir ipar begini hrus berusha dptin hati lo jadi ipar emg baik hati kali ah orang baik gaperlu diefortin baru bs laku ipar sprti keluarga sndiri,tekanan sosial
lebih takut tanya kapan nikah kapan lulus,tekanan sosial
dongju kalo nikah hana kyk suami takut istri kyknya kalo salah takut ketemu hana bucin mampus,tekanan sosial
kali curhatin temen mau cerai gimana makin takut nikah coba,tekanan sosial
stlh liat gmn keluarga ayah suka ibu even nikah aku takut nder usaha jadi mediator tetep ibu salah sudut pandang mrk gwa jadi anak belah pihak enak sndr,trauma masa lalu
ih takut usah nikah apa,tekanan sosial
aku malming nonton sore istri masa depan bagus tu karakter sore nunjukin rasa sayang suami tu lewat kata tatap pas akhir waktu ngakhirin aku nang by tbtb jadi takut hilang suami blm nikah,takut gagal membangun keluarga
anak dibiarin nikah ama orang jelas bukan saudara kandung sekali inses takut dosa,trauma masa lalu
hari gebrak si seungyoun kdg takut tbtb ngajak nikah,tekanan sosial
kadang mikir kalo nikah langsung ken pindah rumah jauh keluarga sodara karna salah takut aku takut pas nikah terima keluarga dijulidin terus pikir ken pindah tempat bahkan negara sepi,tidak percaya pasangan
capek baru balik dri ladang sempat duduk suruh baralekhajatan pel hari nganterin mulu hua takut tanya nikah,tidak percaya pasangan
b takut tiba ditanyain kapan nikah,tekanan sosial
bener nanganin ratus client face reading aku sadar banyak perempuan luar sana milih tahan cowok toxic takut nemu ganti ujung telat nikah bilang awal nyelamatin kalian banyak,tekanan sosial
aku blm nikah takut suami masa depan gabisa nerima aku gin punya bekas luka jahit mungkin kambuh balik cerita temen tg khawatir kata arti suami bkn orang baik iya aku takut dapet,trauma masa lalu
berat cowok jaman skrg coblos sana sini takut ancrit nikah fot,tekanan sosial
mungkin kali tetanga ku dibolehin krna alesan muda anak baru kata takut kek suami meningalcerai terus mau nikah,tidak percaya pasangan
lebih takut fans kalo dadak t nikah bukan si onoh terus istri hujat,tekanan sosial
makin kesini makin sadar banyak orang ceraitakut nikah soal ngeliat ngikutin standar orang sebenernya puas hidup jadi puas banyak makan standar nyeleneh medsos,tekanan sosial
makanya jadi keluarga baik pilih calon suami dibesarin orang tua baik lingkung baik klo perlu paham agama sekali takut klo mau jahat rendah manusia klo nikah asal mau lihat mikir background klwrga siap,tekanan sosial
cewe nikah kerja apa takut direndahin keluarga sosial jaman sekarang tara gender cewe kerja bukan angap beban gelar,tekanan sosial
perempuan sekarang mau ajak hidup susah me dalem hati kalo susah jangan nikah bang jangan ngajak anak orang hidup susah mau ngingetin takut tbh panjang omong,tidak percaya pasangan
takut salah digodain gajadi nikah,tekanan sosial
nikah takut,tekanan sosial
mau jadi ibu punya suami plis takut nikah soal,tekanan sosial
sekolahin cuma cuti kali tahun kabur pacar karna ngebet nikah sederhana uji cuma mau bundir takut masuk neraka,takut gagal membangun keluarga
nikah takut ngejalaninya,tekanan sosial
lama ngeyaping akhir sibuk dgn chatan orang mungkin bilang sukak selalu salah mau kenal orang selalu gebrak terima bosen jomblo klo pacar nikah takut hamil capek plis,tekanan sosial
bawa nikah kata akutakut hamil luar nikah,tekanan sosial
chat arti si cowo sengaja bangun rumah nikah ken punya kamar ekstra perlu sendiri soal kalau bangun nikah takut ribet istri terus jaga takut rumah angap harta gono gin misal cerai,tekanan sosial
banyak buku aku kamu sendiri ngesok mulu kira keren apa cringe maf bentar aku mau nikah ham aku kasih undang kalau mau datang mending gausah makin gamon ham inti kalau sok jago terus cewek takut,tekanan sosial
takut ih pas nikah penghulu gen z trus lebih ganteng kek mana tukeran posisi,tekanan sosial
suami provide cukup bahkan lebih kali aku niat kerja pas nikah doi terus cewek takut direndahin keluarga sosial bukan wajib sosial mana rasa independent women no i ned a man,tekanan sosial
kalau aku takut nikah tuju ibadah,tekanan sosial
sadar keti bs nyakitin orang baca mungkin posisi mau kerja dpt kerja mau nikah dpt kerja akhir baca cuit insec takut ovt klo cwe kerja moga direndahin dlm jadi beban,tekanan sosial
apa update dikit takut boring kalau emang mau liat kisah nikah bole telonym,tekanan sosial
kalo suami aku kamu aku takut nikah,tekanan sosial
kamu kali terlalu mikirin orang takut dijudge justru aneh cewe nikah ngurus rumah anak suami tetep kerja,tekanan sosial
biasa emak pacar pola pikir aneh banyak orang tua angap anak investasi jangka panjang jadi takut kalo anak nikah ngasi duit untung mak orang,alasan ekonomi
takut tbtb bsk ajak nikah mas duluan y,tekanan sosial
ngapain takut direndahin asal kamu tau banyak wanita sini sblm punya anak mrk kerja bukan nikah lgsg ngangur bahkan jadi wanita karir punya anak gantung situasi kondisi,tekanan sosial
jujur aku takut nikah gegara kak ibu takut aku dapet keluarga kurang tepat aku pandai kerja rumah aku mau usaha kalo emang pas nikah suruh urus rumah suami doang,takut gagal membangun keluarga
iyap indo imbang orang pinternya berapa jangan takut ato ngamuk kalo bilang mau childfre remaja naif hamidun terus society despise orang gamau nikah ngangep hamidun tahtanya lebih mulia ketimbang childfre,tekanan sosial
ibu kos ku cantik usia muda jadi tanya besar pilih meni smpe mau keluar kos blm tau jawab apa lebih bahagia sendiri trauma,trauma masa lalu
skrg ken hijab stlh menikahada perempuan hijab dlm hidup trauma soal,trauma masa lalu
meni gada rasa percaya trauma apa temen kantor kak smpe sgitunya,trauma masa lalu
rumit inti masalah mas putar trauma minder daru and ribetnya budhe juno masalah hubung always konflik hapy ending meni,trauma masa lalu
jangan tiru jadi gay coba jadi trauma masa kecil hubtak sehat sblmnya fitrah tetap meni lawan jenis alam kubur banyak hari kiamat tiba jadi usah panik tuju hidup amal kbaikan,trauma masa lalu
meni gada rasa percaya trauma apa temen kantor kak smpe sgitunya,trauma masa lalu
semenjak takut meni bukan karna takut diselingkuhin lebih takut tingal liat nyokap hilang arah hilang temen ngobrol banyak dikhlasin hancur trauma,trauma masa lalu
meni menikaj trauma,tidak percaya pasangan
aku lihat cuplik baner lads baru habis meni pasionate sekali cium guys aku habis meni trauma talk aku yakin lebih intim buka diri cerita trauma sikap,trauma masa lalu
real life kalian sebenernya pingin nikah bayang punya keluarga bahagia beberapa masuk trauma kalian takut utk meni aku tahun sbnernya blm utk meni gmn kalau misal tanya keluarga terus,trauma masa lalu
cukup anak trauma pikir kalau hidup berat meni lalu punya anak dewasa kontrol emosi mindset akhir pilih childfre bahkan pilih utk meni,trauma masa lalu
gaji sesuai biaya hidup mbut cuma trauma kdrt financial selalu jadi momok pasang mau meni,trauma masa lalu
sempat lost spark waktu qiqi c lebih trauma sekarang balik meni skirk,trauma masa lalu
lucu tibatiba my mom tanya kapan target aku meni beliau takut aku punya trauma lihat nikah beliau aku cukup awikwok,trauma masa lalu
amin moga meni naik ikan wkwkwkwk benerbener trauma cewek enih si ayel,tekanan sosial
its okay kak takut meni trauma leceh akhir jalan hidup bukan meni tetep lakuin positif manfat terus lama hidup terus serah diri sang cipta,trauma masa lalu
kata abun tm beb teman meni teman mangu wkwkw feling aku iya pdkt cuma mungkin gaberani go publik aca mas trauma gara cowok nitizen gas jelas ngerasa nyaman,trauma masa lalu
aku punya trauma triger berkalikali aku korban kdrt aku punya ibu dramatic selalu iri anak aku kena masalah mental kecil aku cinta diri sendiri aku takut aku luka banyak orang meni benar aku sepi,trauma masa lalu
satu orang sangat sakit sekarang bahagia baru meni sumpah trauma beri tahun aku mau jalin hubung baru trauma alah orang serapih depan aku jadi selingkuh alah,trauma masa lalu
bln meni aku blm siap punya bayi terlalu bnyk trauma pendam takut ekonomi blm stabil ntah kpn siap,alasan ekonomi
trauma hidup keluarga soal keluarga aku scary hahaha jadi takut mau meni takut salah pasang jujur aku mau meni bangun rumah tanga harmonis,tidak percaya pasangan
cewe tulus tiap pacar selalu selingkuhin trauma parah akhir mungkin meni jadi istri orang kaya raya sange gila tiap liat gtu,trauma masa lalu
jujur aku pikir mau nikah trauma liat rumah tanga ortu sendiri iring jalan waktu tbtb alah kasih aku jodoh baik rubah aku benar nyangka titik meni punya anak,trauma masa lalu
mau kondisi ekonomi aku lebih milih engak mau meni trauma aku sakit khawatir kalau jadi beban hidup meni jalan siap mental uji tak duga,alasan ekonomi
model keluarga normatif seringkali jadi tempat penuh keras trauma narator lepas gagal institusi keluarga narator harap anak meni beberapa tetap jadi model,tekanan sosial
masuk nalar korban perkosa suruh meni laku perkosa laku korban lho kena mental trauma suruh umur hidup,trauma masa lalu
stop normalisasi pertangungjawaban pihak laku korban tuh cara meni please kata korban trauma apa orang abis ngelecehin kocak negara,tekanan sosial
karma tg rentet beberapa kisah beda saling hubung akibat karmatrauma code tg dokter hebat juang sistem trauma center rumah sakit wlgyt kisah juang pasutri kecil pacar meni punya anak hinga nikah anak,trauma masa lalu
dulu sempet mikir mau nikah mau punya anak takut nurunin trauma anak pasang but who knows sekarang sayang ugalugalan pria sangat meni,trauma masa lalu
bias kalo sakit gin suka tb glomy pikir mati hidup trauma mati jadi aku selalu cemas ovt kalo aku meni hidup pasang salah satu tingal sendiri aku bayangin,trauma masa lalu
kalau aku sidah temu patner aku mau meni punya anak tau alu takut waris trauma,trauma masa lalu
thing is mostly paham foreplay perlu rasul sendiri suruh unt cumbu dulu jangan sperti binatang thing is mostly peduli istri nikmat apa jadi meni do take notes istri trauma dg seks nyaman during sex,trauma masa lalu
pasang meni bye naremikatrauma baca au diksh jabat lgsg gaet cewe terus lama bongkar sembunyi temenya terus temen ikut sembunyi gada karma syukur adek nikah isi konflik,tekanan sosial
trauma meni takut harga,trauma masa lalu
serius hidup mana jangan jadi mama ku jangan meni jangan jadi aku cuma muasin trauma mama dapet bahagia dulu diri sendiri jangan anak perempuan kamu teken,trauma masa lalu
perempuan jadi perempuan kuat berani hidup sulit pertangungjawaban bila kamu nikah tdk bahagia silah pisah jgn meni kalau mau study jgn takut lajang kalau fokus kejar karir hindar trauma waris anak,tidak percaya pasangan
please iya muak ky yaudah manusia punya jalan hidup sendiri punya trauma sendiri punya impi sendiri meni,tekanan sosial
true im stil in my early s kerja wanita hebat blm meni in their s but their lifes lok perfectly fine i dont mind being late drpd hidup dgn trauma sakit hati karna salah pasang karna buru i put al my trust in gods timing,trauma masa lalu
kaka rahasia uang tabung suami meni th soal kalo tau pake balik lama trauma uang tabung kaka anak suami boros,trauma masa lalu
lihat poto orang meni aku menang entah aku trauma pgn titik mikir smpe sana bahagia,trauma masa lalu
hajun prompt cw mpreg sa hjw jh meni lama hampir tahun mrk tak kunjung kabar baik kandung jh lemah karna faktor trauma pernah sa masa lalu suatu jh hamil akhir pasang anak lakilaki hadir,trauma masa lalu
jangan main encer ambil simpul mandul periksa dulu dokter sperma layak sehat cacat jangan self diagnos and cowomu luka trauma sendiri karna leceh alangkah baik kalian mau meni periksa sehat aj,trauma masa lalu
paling gong bilang gin gausa trauma orang tua cerai wah makin emosi baca kak bejir memang my family broken tutup takdir ku meni masa meni emang gila tuh orang,trauma masa lalu
slalu tanya kapan meni orang single kalo punya pasang publish trauma nikah ken nikah pernah gagal masa iya hrs nikah buru nurutin omong orang kalo gagal disalahin perempuan,trauma masa lalu
saking trauma rasa aman bulan kemudian heny family mutusin australia tetap sana sekarang btw tahun kemudian heny meni bule bukan hiks,trauma masa lalu
intergenerational trauma is real banyak orang putus meni terus turun banyak orang engan laku bukan gabisa punya anak,tekanan sosial
makanya heran lihat gen transisi kyk milenial gen z awal lebih pilih mau meni selesai diri bahkan meni childfre takut turun trauma calon anak sisi mau bagaimana,trauma masa lalu
aku mau meni trauma tl isi selingkuh,tekanan sosial
ngelihat dunia isi penuh selingkuh kdrt pokok trauma trust isue makin pilih meni,tekanan sosial
kaya kalo beliau meni aku baru trauma,tekanan sosial
nah case kyk gin makanya diobrolin calon suamistri awkward aplg bingung sendiri search explore tg hb meni tips trick jadi takut aplg sakit trauma tabu plis,trauma masa lalu
wajar mungkin punya value pantas dihargain segitu emg uang punya segitu jadi minta banyak kalau mau tetep single orang ibu meni mungkin trauma,trauma masa lalu
lihat ibu meni dgn lelaki salah yaps bokap smakin sadar klo jadi ibu buah kerja lo gakan prnh bsa risegn bnr iba trauma lihat nyokap sndiri kdg pgn rasany cuma tingal ibu bahagia in ibu,tekanan sosial
hahahaha ikr akhir jadi sempat takut trauma mulai hubung serius paling cuma dar butuh afeksi sekarang siap meni jang wonyoung,trauma masa lalu
komnas lindung hp tuh ibox o eh tau takoyaki manhwa wkwkwkw kalo request santai bos jual ramah sekali gin dagang laku damn berani kdrt gin meni muncul trauma baru,trauma masa lalu
boyke ungkap buah kasus nyata cukup kejut mana orang anak alami trauma hinga meni dengar jerit orang tua hubung intim lama bertahuntahun via,trauma masa lalu
sory to know beibya alah beib aku meni diselingkuhin trauma i fel kamu meni beban lebih berat ikat sucipeluk jauh,trauma masa lalu
untung al waras karirnya nekoneko peduli keluarga bahkan sangup meni anak pertama alami getirpahitnya orangtua pisah tuh resiko gede njir banyak trauma ignored keluarga,trauma masa lalu
puas potensial trauma kak konteks al untung waras pilih meni lama berkarir nekoneko,trauma masa lalu
beberapa hari lalu bicara ibu kakak aku nyangka nyata kakak ku paham maksud lama kaya gin tuh apa jadi ibu tuh selalu desak aku segera meni baru kemarin kakak ku jawab gin anak punya trauma tuh benar ortu sendiri,trauma masa lalu
isu lockdown makin lebar entah bener apa jelas trauma lockdown tepat hari penting hidup meni hamil lahir susu alah mau ngalamin masa lockdown siksa stres,trauma masa lalu
laki mg sulit ubah sifat trauma bahkan abis nikah sifat jelek laki makin tambah parah lek pacar sendiri bilang capek yowes sat pisah arti doi terima kurang meni tg saling nrimo kurang masing pihak,trauma masa lalu
untung jadi trauma meni,tidak percaya pasangan
kalo sya posisi kata damai ambil hak asuh anak bolehin ketemu dgn ibu why dibohongin trauma bukan cuma suami anak medis trauma si anak meni diwarisin anak,trauma masa lalu
hahahahaha moga segera lowong pusat trauma meni,tekanan sosial
meni jangan sampek trauma terus meni,tekanan sosial
akhir bahagia moga kasus mati ibu selesai sairung jati diri sendiri trauma mrsun atas de gudji jadi sunsairung meni we love a lot of sun ep ilovealotofyouep,trauma masa lalu
aku dulu sangat meni bener ngebet skrg aku liat orang nikah fyp maupun eksplore orang nikah aku skip mual takut kalo jadi trauma bjir,trauma masa lalu
orang trauma meni selalu bilang kalau kamu nikah wkwkwk lucu,trauma masa lalu
trauma terima keluarga pasang real banyak mandang kondisi keluarga kaya broken home beberapa orang ngaruh personality hidup anak meni bahkan takut jadi aib aku ngalamin maki tante mantan dikatain murah,tekanan sosial
mbak maf meni apa mbak pernah tungkak cangkem mungkin sedikit trauma mungkin mbak maf minta maf,tidak percaya pasangan
makin trauma parenting ortu lakuin makin bayang gamau jadi nyata aku jadi salah satu jadi solusi obat dulu trauma mu baru mulai lembar baru entah meni milik anak,trauma masa lalu
ben there bahkan bantu hina kasi kerja bantu nikah kasi modal rencana mau bunuh mama trauma akhir pilih meni muda alhamdulilah mama sehat skrg umur tahun karma is real just wait,trauma masa lalu
bang pilih meni sunah anjur kalo lo ngerasa dg meni banyak kewajibanhak pasang lo tunai lebih baik jangan meni dulu doain moga lo sembuh trauma lo semangat bro,trauma masa lalu
ending cerita risma rumah susun hirotada radif risma pindah jakarta tante leli lulus sma kerja meni terima hilang ibu vera harap vera selamat tetap trauma lihat flat kosong kini angap angker picu kilas,trauma masa lalu
bagus kalau kamu sadar banyak trauma healing ngajak anak orang hidup rumah tanga meni hak masing orang meni jiwa mu sehat walafiat mampu bimbing keluarga sisa doa,trauma masa lalu
meni satu keluarga sebenernya halhal wajar mungkin sifat calon mertua saudara krg kenan klo bs posisi diri gp imo sedikit masalah diri sosial entah trauma,tekanan sosial
hm kalau emang cukup bahkan lebih emang banyak mungkin hitung trauma keluarga beda kalau meni kalau emang niat lanjut turun nikah,trauma masa lalu
syarat g cuma asal sukatapi kudu wajib fardu mampupendidikanmentalfinancialkalo mental kau rasa g mampu unt meni n punya anakitu gpbuat pa meni unt sakit pasangandisakitijika meni traumamending no meni butuh banyak aspek,tidak percaya pasangan
kuat kak aku selalu benci orang meni lalu punya anak cuma tatar sengsara alias punya anak ajang lampiasin dendam trauma diri ujung tuntut anak rawat masa tua pernah pantas,trauma masa lalu
tetep butuh kak mungkin bkn pasang banyak perempuan survive hidup laki single mom fatherles perempuan meni cuz kdg laki jadi trauma parah perempuan wel laki hidup perempuan but kn how many,trauma masa lalu
adikadiku manis sedikit muslimah trauma panjang pacar meni lelaki jalang islam mulia wanita muslimah tetap punya tangung jawab jaga hormat diri sendiri yuk ajar punya akuntabilitas diri,tekanan sosial
trauma meni banyak perempuan,tekanan sosial
lepas fod alergies or fod trauma hampir pangan hasil alam edible whether animal or plantbased adab manusia dulu survive dng konsumsi apa beri alam betul stay single meni sesuai selera,trauma masa lalu
rasa sembuh tibatiba cowo dateng ribu baik usaha luluh aku bln coba ambil hati aku akhir luluh ngobatin trauma aku kasih baik aku hampir meni nyata lelaki teduh,trauma masa lalu
simpel sebenernya meni sekali umur hidup kalo turut pilih ngertin km mau terima keluarga tanya soal tangung jawab utk depan gmn saran jgn mau cowo suka ngeluh gamau usaha duh trauma,trauma masa lalu
yah cerita kakak kadang mirip faya entah sometimes cara sikap vibes apa aku as a whole nyamain cm aku liat beberapa and instead of having a child aku lbh amaze kakak berani meni trauma coded,trauma masa lalu
emir mahira jadi alari kusuma bin fulan orang pria meni karunia anak perempuan cantikpunya trauma hidup,trauma masa lalu
makin laku begini makin banyak cewek naksir literali mau meni pacar hubung laki bukan naksir jenis trauma mau penting soal,tekanan sosial
cerita bukan cinta indah cinta pergi lyra rayan nama simpan luka diam lyra trauma kali gagal meni salah ambil langkah sepenuh bukan mau,trauma masa lalu
orang meni kitakita trauma,tekanan sosial
bohong kalo aku trauma aku suatu hari punya keluarga sendiri cemara meni punya anak,trauma masa lalu
teman umur meni jauh teman sekolah teman kuliah masalah jebak umur sekolah banyak trauma nyerah,trauma masa lalu
telusur fb ko banyak fb nyata orang tipu gtu sakit hati trauma bodoh mau meni orang ntah apa isi pikir ibu,tekanan sosial
neng orang doain moga jodoh baik abistu langsung sedih banyak trauma ragu meni,trauma masa lalu
bukan trauma meni alam keluarga sendiri kakak beri nikah kurang sehat aku berfikir beberapakali utk yakin tahap nikah,tekanan sosial
so far temen aku agnostik religi pilih meni patriaki trauma lihat ibu siksa bapak,trauma masa lalu
sblm meni atur klo antem jangan depan anak trauma,trauma masa lalu
tambah orang kalian biasa suka nyalahin victim blaming ibu milih suami nyalahin anak korban fatherles trauma punya men father isue sumber masalah banyak bertangungjawab meni mau enak,trauma masa lalu
alah dengerin mbak ngomel anak makin mau punya anak lebih meni siap takut bimbing takut putus trauma generasi,trauma masa lalu
kurang kak punya opini gin janda dgn anak kerjangurus anak meni bener mandiri trauma lakilaki mokondo tg jawab,trauma masa lalu
capek hati aku pendam rasa rela sakit hati adik kandung lihat perhati kakak kandung sendiri meni dgn orang punya trauma luka akibat cerai orang tua dik ibu salah kemudian meni,trauma masa lalu
klo lanjur nikah ywdh kasi anak jadi trauma lpa lapor goals anak sebut cerai sekarang tugas kasih didik masyarakat meni under age,trauma masa lalu
tau karna trauma apa gimana aku ken meni aku takut aku pasang susah berat untumnya aku ken punya anak aku takut anak bahagia karna aku ibu,trauma masa lalu
meni jodoh selalu baik selalu buruk kata khawatir soal jodoh soal jodoh tetap alah sedih wanita baik mama rasa trauma pindah aku,trauma masa lalu
anak cowok sayang ibu lihat trauma putus rantai patriark meni,tekanan sosial
cowo cewe cakep punya trauma komitmen moga segera beri lega hati alah mau meni punya anak waris gen cakep serah mau ngapain no komen,trauma masa lalu
hahaha dikit trauma ajak buka pola pikir aneh kesiap nikah tu penting mental ekonomi meni bukan takut laku meni bukan nyatuin manusia nyatuin pola pikir nyatuin keluarga,alasan ekonomi
orang pernah meni trauma gagal rumah tanga akhir perawan tua,takut gagal membangun keluarga
byk artis umur atas blm meni cinta pean trauma jadi baik jgn mikir meni dulu meni salah satu dasar adlh cinta,trauma masa lalu
betul sekali mba memang lelaki tara hewan untung ibu meni pilih belah diri lahir trauma bekas lihat lelaki ludahin,trauma masa lalu
lelaki wanita luar biasa trauma relationship sempat meni jadi mau nikah bahkan dlm waktu dekat kurang tahun alhamdulilah rumah tanga sangat bahagia,trauma masa lalu
bagaimana cara sikap tau pasang mu mau meni karna trauma apa tetep mau bujuk bagai cara tingal,trauma masa lalu
ken bantu kalo gadis pernah meni aku trauma,trauma masa lalu
okay but rather than kerucut poin arah solusi latar belakang perempuan trauma meni lahir pilih blaming sangat halus putus dasar takut valid,trauma masa lalu
mau menikahpunya anak pilih jaman skr byk timbang bkn hak ngejudge kurang tatga bersyukurtrauma pernah tau isi hati orang drpd judge mending urus masing sikap baik orglain jgn jahat jgn saling ngerugin,tekanan sosial
lebih nyesek lagihubungan nyata langengbahkan meni honeymon jepang negara pernah ku mimpi kunjung bareng tuju istrinyadan akumasih sinimasih trauma mulai hubung baru,trauma masa lalu
mbak aku trauma mama sendiri kecil aku berfikiran aku jadi ibu meni mungkin bagus mama nyalahin anakanaknya sbg alas gabisa waktu muda neng kerja main bebas im scared to be a bad mother to,trauma masa lalu
pernah mikir kaya gin nikah meni nyata benda asing apa masuk tubuh jadi ancam aku bukan aku mau tubuh ubah hormon nyata jadi aku sekarang trauma,trauma masa lalu
aku pernah meni kandas bun skrg mau meni tuh rasa trauma makin banyak makin takut kandas,trauma masa lalu
at the end of the day aku meni ujung kalau suka konser kaya aku cukup teman paksu cape coba jali teman baru nctzen aku temin irl selalu zonk terus akhir trauma,trauma masa lalu
trauma batal meni,trauma masa lalu
aku trauma dgn pasang gimnick kojiyudirestui akb gimnick abis graduationsemua karam habis yuko meni jumpa pernah,trauma masa lalu
tau asa takut kapan takut meni takut ningalin mama adik bungsu takut masa depan keluarga sendiri trauma broken home umur dewasa bener se takut,trauma masa lalu
jangan buruburu nikah cuma umur tekan keluarga teman menikahnikah bukan lomba salah pilih pasang kamu sesal bertahuntahun trauma umur hidup tungu tepat jangan hilang diri sendiri,trauma masa lalu
meni punya pasang bilang kalau suatu aku ketemu orang tepat waktu tepat sedikit banyak pengaruh rasa pantas tengah usaha lupa trauma aku rasa layak,trauma masa lalu
as we know sieun punya orangtua peran sana sgt mungkin takut meni punya anak but he met the right person suho cinta penuhpenuh smp dmn sieun ajar mau benar ngasih trauma anak,trauma masa lalu
nambah alas baik ush meni jujur baca sj trauma merinding apa klo ku cek fb,trauma masa lalu
nikah pernah meni trauma siapalagi kalau bukan aku,tidak percaya pasangan
