text,predicted_label
buat kalian yang takut nikah gue paham kok banyak kasus cerai kdrt belum lagi semua serba mahal sekarang gue bahas sama nucha ya di podcast curhatbabu episode ini siapa tau membuka perspektif beda marriage is scary,tekanan sosial
inget bgt perkara gue belanja abis banyak aja lu ngomel mahal dll ehhh bang toyib gue belanja pake duit gue sendiri kerja gue sendiri lo modal apaaaaa takut bgt nih kalo yg ampe nikah ama lo di nyinyirin mulu uang belanjaaa,takut gagal membangun keluarga
emang ada yg takut nikah krn liat org lain cere bukannya takut nikah krn biaya hidup makin mahal ya,tekanan sosial
udh nikah sih tp emang ada rasa takut bahkan sampe skrg terutama utk punya anak uang sekolah sd kalo mau yg bagus mahal cuy wkwkw mana harga popok tuh mahal dan kualitasnya relatif jelek susu pun begitu tp ya udh punya jd ya bismillah aja sambil usaha ngumpulin uangnya,takut gagal membangun keluarga
agak emosi karena gue sendiri juga cowo yg milih bangun rumah duluan sebelum nikah sebenarnya gue gak takut kalau tuh rumah jadi gonogini meskipun gue bangun setelah menikah juga tetep milik gue tapi ya anjig kalau dicap perhitungan dikiranya nyari duit gampang apa,tekanan sosial
ada gue yang sebelum nikah pengen hidup santai aja seadanya rejeki gue hari ini ya gue ngerasa cukup setelah ada istri dan anak gue takut banget gak bisa penuhi kebutuhan mereka dan gue selesai jadi biawak ketika gue memulai kehidupan gue sama istri,tekanan sosial
ih aku jg mau beli tp tiap di supermarket takut dikira mau nikah,tidak percaya pasangan
gamau nikah ah takut ga bahagia takut pny pasangan cuma nambah beban doang salah pilih pasangan bunuh diri,tidak percaya pasangan
iyap indo seimbang kok orang pinternya juga ga seberapa jangan takut ato ngamuk kalo ada yang bilang mau childfree masih ada remaja naif yang hamidun terus society yang despise orang yang gamau nikah dan nganggep hamidun tahtanya lebih mulia ketimbang childfree,tidak percaya pasangan
agak emosi karena gue sendiri juga cowo yg milih bangun rumah duluan sebelum nikah sebenarnya gue gak takut kalau tuh rumah jadi gonogini meskipun gue bangun setelah menikah juga tetep milik gue tapi ya anjig kalau dicap perhitungan dikiranya nyari duit gampang apa,tekanan sosial
gue takut ditinggal nikah tmn gue ntar gue main sama siapa,tekanan sosial
pengen nonton sore tpi takut pengen cepet nikah,tekanan sosial
huhuhu buu semangat buat kita yang ngurus bocil yang tidak sat setsemoga kita diberi kesabaran yang luas ya buaku gk ngurusin anakku krna aku blm nikahtpi aku ngurusin keponakan yg ditinggal mak bapaknya pisahjd hrs ekstra sabar soalnya takut mrsa gk disayang,tekanan sosial
sumpah gue makin takut klo gue hrs nikah dan punya anak di indonesia kek ajg dunia ini gak waraaassssssss masa ada anak smp jd simpenan om om anjinggggg,trauma masa lalu
td ditawarin nikah katanya takut janda,tekanan sosial
jujur aku pun takut nikah gegara ini kak ibuku juga takut aku dapet keluarga yang kurang tepat karena aku juga ga begitu pandai dalam pekerjaan rumah tapi aku mau usaha kok yaa kalo emang pas nikah disuruh urus rumah sama suami doang,takut gagal membangun keluarga
ngapain takut direndahin asal kamu tau yaa kebanyakan wanita disini jg sblm punya anak mrk kerja bukan yg nikah lgsg nganggur bahkan ada yg jd wanita karir setelah punya anak semua tergantung situasi dan kondisi,tekanan sosial
kalo suaminya aku itu kamu aku ga bakalan takut nikah,tekanan sosial
kamu aja kali yang terlalu mikirin pendapat orang lain takut dijudge justru yang aneh itu kenapa cewe udah nikah ngurus rumah anak suami tapi masih tetep kerja juga,tekanan sosial
biasanya emak pacar yg pola pikirnya aneh banyak org tua yg anggap anaknya investasi jangka panjang jadi takut kalo anaknya nikah ga ngasi duit lagi untung mak gw ga begitu orangnya,tidak percaya pasangan
takut tbtb bsk diajak nikah masi duluan y,tekanan sosial
kalau aku sih gak takut karena nikah itu kan tujuannya ibadah,tekanan sosial
sadar ga sih ketikan lu bs nyakitin org lain yg baca yg mungkin ada diposisi mau kerja tp belum dpt kerja mau nikah pun tp jg belum dpt kerja akhirnya baca cuitan lu ini bikin insec takut dan ovt klo lu cwe yg udh kerja semoga ga direndahin dlm hal lain jd beban lainnya deh,tekanan sosial
apaan sih update dikit bgt lagi gakkk takut boring kalau emang mau liat kisah mereka sebelum nikah bolee banget tellonym,tekanan sosial
dari chat berarti si cowo sengaja bangun rumah sebelum nikah karena dia pengen punya dua kamar ekstra untuk keperluan nya sendiri soalnya kalau dibangun setelah nikah takut ribet sama istrinya terus jaga takut rumahnya di anggap harta gono gini semisal cerai padahal dia,tekanan sosial
ya banyak sih buku w tapi u sendiri ngesok mulu gitu dikira keren apa cringe bgt maaf bentar lagi w mau nikah ham nanti w kasih undangan nya kalau lu mau datang mending gausah nanti lu makin gamon sama gue ham intinya kalau lu sok jagoan terus cewek takut sama lu,tekanan sosial
takut ih nanti pas nikah penghulunya juga gen z trus lebih ganteng kek mana tukeran posisi boleh kah,tekanan sosial
suaminya bisa provide yang cukup bahkan lebih kali aku juga niat gak kerja pas udah nikah sama doi kok terus kenapa cewek harus takut direndahin keluarga atau sosial padahal kan bukan kewajiban juga sosial yang mana juga yang merasa independent women kah no i need a man,tekanan sosial
dibawa nikah aja kata akutakut hamil luar nikah nanti,tekanan sosial
udh lama gak ngeyapping akhir ini lg sibuk dgn chatan org yg mungkin bisa dibilang gak gua sukak bgt knp gua selalu salah setiap mau kenal sama org selalu ada aja gebrakannya ada aja yg harus gua terima bosen bgt jomblo tp klo pacaran sampe nikah takut hamil capek plis deh,trauma masa lalu
nikah sih ga takut tapi ngejalaninnya,tekanan sosial
nikah ga takut,tekanan sosial
mau jdi ibu tanpa punya suami plis takut nikah soalnya,tekanan sosial
gw sekolahin sampe gw cuma cuti kali dalam tahun malah kabur sama pacarnya karna ngebet nikah sederhana sih ujian nya cuma mau bundir takut masuk neraka,trauma masa lalu
makin kesini makin sadar kenapa banyak orang ceraitakut nikah soalnya mereka ngeliat ngikutin standar orang lain yang sebenernya mereka udah puas sama kehidupannya tapi jadi ga puas karena kebanyakan makan standar nyeleneh di medsos ini,tekanan sosial
makanya jadi keluarga yg baik pilih calon suami yg dibesarin dr org tua yg baik lingkungan yg baik klo perlu yg paham agama sekalian biar takut klo mau berbuat jahat merendahkan manusia klo lu nikah asal ada yg mau tanpa lihat mikir background klwrga yaa siap aja,tekanan sosial
kok cewe bisa ya nikah tp gak kerja gitu apa ga takut direndahin keluarga nya atau sosial di jaman sekarang yg kesetaraan gender cewe gak kerja bukan nya dianggap beban ya apalagi yg udah ada gelar nya,tekanan sosial
perempuan sekarang ga mau diajak hidup susah me dalem hati kalo masih susah jangan nikah bang jangan ngajak anak orang hidup susah mau ngingetin takut tbh panjang omongannya,tidak percaya pasangan
takut salah nanti digodain gajadi nikah,tekanan sosial
gua lebih takut sama fans itu kalo mendadak t nikah dan bukan sama si onoh terus istrinya dihujat,tekanan sosial
mungkin kali ya tp tetangga ku ga dibolehin krna alesan nya masih muda dan anak baru katanya takut nya nanti kenapa kek suami nya meninggalcerai trs mau nikah lagi,tekanan sosial
berati cowok jaman skrg coblos sana sini ya takut ancrit gue nikah sm fot ajalah,tekanan sosial
aku blm nikah takut suami masa depan gabisa nerima aku yg gini punya bekas luka jahitan kemungkinan buat kambuh balik tapi cerita ke temen ttg kekhawatiranku ini katanya berarti suamimu bkn orang yg baik iyaaa aku takut dapet yg begitu,trauma masa lalu
ini bener banget setelah nanganin ratusan client face reading aku sadar bahwa ada banyak perempuan di luar sana yang milih bertahan dengan cowok toxic karena takut ga nemu pengganti dan berujung telat nikah padahal bilang nggak di awal bisa nyelamatin kalian dari banyak hal,tekanan sosial
b deh takut tiba tiba ditanyain kapan nikah,tekanan sosial
capek baru balik dri ladang dan belum sempat duduk gue udh disuruh baralekhajatan lagi anjir peliss udh hari gue harus nganterin ini mulu huaaa takut ditanya nikah,tekanan sosial
kadang mikir nanti kalo nikah langsung pengen pindah rumah jauh dari keluarga dan sodara sodara karna itu salah ketakutan aku takut nanti pas nikah gak diterima sama keluarga nya atau malah dijulidin terus kepikiran pengen pindah ke tempat atau bahkan ke negara yg sepi,tekanan sosial
hari ada aja gebrakan dari si seungyoun gw kdg takut dia tbtb ngajak nikah lah,tekanan sosial
tapi kenapa anaknya dibiarin nikah ama orang lain yg jelas bukan saudara kandung ga sekalian inses takut dosa anjir,tekanan sosial
aku malming ini nonton sore istri dari masa depan yg bikin bagus tu karakter sore nunjukin rasa sayangnya ke suaminya tu ga lewat kata tapiii dari tatapan pas akhirnya waktu ngakhirin itu semua aku nangis by tbtb bgt jadi takut kehilangan suami padahal saya blm nikah,tidak percaya pasangan
ih takut gak usah nikah aja apa ya gw,tekanan sosial
stlh liat gmn keluarga ayahku ga suka sama ibuku even udah nikah aku jg takut nder pdhl udah berusaha jd mediator tetep aja ibuku bersalah disudut pandang mrk gwa yg jd anak dr kedua belah pihak ga enak sndr kan,tekanan sosial
udah dua kali di curhatin temen yang mau cerai gimana ga makin takut nikah coba,tekanan sosial
dongju kalo nikah sama hanna bakal kyk suami takut istri kyknya dia kalo buat salah setakut itu ketemu hanna tp ttp bucin mampus,tekanan sosial
lebih takut ditanya kapan nikah atau kapan lulus,tekanan sosial
bginian yg bkin gua takut nikah pemikiran ipar ipar yg begini nih hrus bgt berushaa buat dptin hati lo jd ipar aja emg yg ga berbaik hati kali ah org baik mah gaperlu dieffortin baru bs memperlakukan iparnya sprti keluarga sndiri,tekanan sosial
takut kangen mama kalau nikah,tekanan sosial
numpang curhat guys aku sering mimpi yg beneran jadi kenyataan loh makanya aku takut bgt tiap mimpi pasti kebangun dan degdegan gt ini contohnya aku mimpi temenku nikah sama temenku jg di tahun nah tahun ini mereka beneran nikah bulan juni ini,tekanan sosial
ya emang kenapa kalo tujuan hidupku ngonser ngga semua org tujuan hidupnya nikahdengan banyaknya luka yg aku terima dr keluarga kadang bikin aku takut nikah dan gamau punya keluarga yg sama kaya keluargaku sekarang ini,tekanan sosial
joongdunk gk usah balik ke thai kalau belum nikah boleh gk sih takut asing lagifkjd fm in nyctheheartkillersfminnewyorktheheartkillersusandlatamtour,tekanan sosial
iyaa lagi gua ngeliat mbak ipar gua jg gitu jadi takut ntar gua nikah digituin juga,tekanan sosial
jogging gagal ngapain ya kl bengong takut kepikiran kapan nikah,tekanan sosial
pagipagi rapihin bayi bogel biar masuk kandang diliatin mamak mmk lu mendingan nikah urus anak beneran takut gila aja gue mah aku maak lu gatau anak bogel ini hasil dari pernikahan gue dengan bapaknya mmk tuhkan udah muncul gejalanya,tekanan sosial
halhal yang kayak gini yang bikin bahaya jadi banyak orang yg takut nikah padahal nikah itu sunnah rasulullah saw,tekanan sosial
iyasih kak kek aneh gasih kalo temenan dulu kan siapa tau nyaman tapi kalo nyaman ntar jg susah sih takut pacarannya karena takut bakal ngerusak hubungan wkwkwk mending htsttmbestie trus ntar tiba tiba nikah awokawokawok,tekanan sosial
lbh ke takut lose myself deh kalo nikah entah itu tuntutan suami atau krn diri kita sendiri,tekanan sosial
mimpi nikah sama temen sendiri kocak untung cuma mimpi takut bgt gw,tekanan sosial
awalnya kaget sama job mereka tapi yang bikin lebih kaget adalah umur chan hwan thn kirain an lah aku takut bgt jadi penghalang di hub nya sama jiwon padahal mereka cocok visi misi nikah nya pas tapi age gap th,tekanan sosial
diumur segini yang gue pikirin gimana karir gue lebih bagus kedepannya ga ada cinta didalamnya gue ga takut buat ga nikah ga takut buat sendirian,tekanan sosial
takut banget habis nikah nari dimakan sampe abis sama mamat,tekanan sosial
loh aku kira akhirakhir ini banyak yang takut nikah milih childfree karena pendidikan anak mahal apa cuman di bubble twitter doang yaa jadi inget masa pilpres wkwk,tekanan sosial
u kebayang ngga sih nanti sebombay apa pas gue akad nikah bleh ngga gausah meap takut rusak totalll,tekanan sosial
kemenag daripada ngadain nikah gratis mending brainstorming ulang dah apa yg cocok di adain di indo mending mikir gimana angka perceraian turun biar gaada konten married is scary trs gen z jadi takut buat nikah,takut gagal membangun keluarga
mudahan begitu ya takut bgt ngerasa nyesel nikah atau malah pasangan w yg ngerasa nyesel nikahin w jirrrrrrr pait pait pait,tekanan sosial
bbrp hari ini banyak bgt org yg follow spamlike bahkan dm gue tp pas dicek udh punya cewe udh nikah bahkan udh punya anak setan gabikin gw takut tapi cowo iya,tekanan sosial
nangisin sahabat takut banget kalo doi nikah dan pergi jauh jadi ga ada sahabat yg sekota lagi,tekanan sosial
dulu pas nikah aku takut banget kalau kekurangan makanya aku saving uang sebanyak mungkin sebelum nikah nggak hura krn nggak tahu setelah nikah itu kehidupan kayak gimana,tidak percaya pasangan
gini masih aja takut sama pemikiran orangorang yg memutuskan buat childfree dan nggak nikah aneh emang orang yg milih childfree dan gak nikah di indo tuh akan selalu lebih sedikit daripada yg milih buat beranak dan nikah,takut gagal membangun keluarga
semoga ini hubungan ga lanjut bukannya doain jelek ya ini justru gua lg doain baik nder pacaran aja lu dihina begini gua ga kebayang kalo sampe nikah dia bakal kaya gimana kalo sampe amit lu ga mandiri secara finansial takut diinjek lunya nder,tekanan sosial
orang yg udah nikah emang se rese ini kah peduli ke ortu nya aja ngga tapi kalo nyinyirin kamiorang rumah paling depan setakut itu kah uang ortu nya habis buat kamitermasuk ortu yg ada di rumah dari tindakan mereka mereka takut uang ortunya habis buat aku dan kakakku,tekanan sosial
hah ini ada apa sih sama indonesia jadi takut guague yang nikah aja belum jadi makin ovt kalo punya anak nanti gimana cara jaga dan didiknya takut banget beneran,tidak percaya pasangan
kalo udah nikah emang ga takut jaim lagi skynani greet shabushi skynani,tekanan sosial
salah satu alasan gen z takut nikah,tekanan sosial
jangan gitu dong ini aku jadi takut dikira mau nikah beneran,tekanan sosial
mau blg ke nyokap anak angkatan udh ada yg mau nikah tp takut gw ditagih,tekanan sosial
kalah sama devasa pas devasa udah begituan udah nikah dia malah takut sama itunya raskha,tekanan sosial
kalo udah nikah emang ga takut jaim lagi skynani greet shabushi skynani,tekanan sosial
hah ini ada apa sih sama indonesia jadi takut guague yang nikah aja belum jadi makin ovt kalo punya anak nanti gimana cara jaga dan didiknya takut banget beneran,tidak percaya pasangan
gini masih aja takut sama pemikiran orangorang yg memutuskan buat childfree dan nggak nikah aneh emang orang yg milih childfree dan gak nikah di indo tuh akan selalu lebih sedikit daripada yg milih buat beranak dan nikah,takut gagal membangun keluarga
semoga ini hubungan ga lanjut bukannya doain jelek ya ini justru gua lg doain baik nder pacaran aja lu dihina begini gua ga kebayang kalo sampe nikah dia bakal kaya gimana kalo sampe amit lu ga mandiri secara finansial takut diinjek lunya nder,tekanan sosial
orang yg udah nikah emang se rese ini kah peduli ke ortu nya aja ngga tapi kalo nyinyirin kamiorang rumah paling depan setakut itu kah uang ortu nya habis buat kamitermasuk ortu yg ada di rumah dari tindakan mereka mereka takut uang ortunya habis buat aku dan kakakku,tekanan sosial
dulu pas nikah aku takut banget kalau kekurangan makanya aku saving uang sebanyak mungkin sebelum nikah nggak hura krn nggak tahu setelah nikah itu kehidupan kayak gimana,tidak percaya pasangan
nangisin sahabat takut banget kalo doi nikah dan pergi jauh jadi ga ada sahabat yg sekota lagi,tekanan sosial
bbrp hari ini banyak bgt org yg follow spamlike bahkan dm gue tp pas dicek udh punya cewe udh nikah bahkan udh punya anak setan gabikin gw takut tapi cowo iya,tekanan sosial
mudahan begitu ya takut bgt ngerasa nyesel nikah atau malah pasangan w yg ngerasa nyesel nikahin w jirrrrrrr pait pait pait,tekanan sosial
kemenag daripada ngadain nikah gratis mending brainstorming ulang dah apa yg cocok di adain di indo mending mikir gimana angka perceraian turun biar gaada konten married is scary trs gen z jadi takut buat nikah,takut gagal membangun keluarga
u kebayang ngga sih nanti sebombay apa pas gue akad nikah bleh ngga gausah meap takut rusak totalll,tekanan sosial
loh aku kira akhirakhir ini banyak yang takut nikah milih childfree karena pendidikan anak mahal apa cuman di bubble twitter doang yaa jadi inget masa pilpres wkwk,tekanan sosial
takut banget habis nikah nari dimakan sampe abis sama mamat,tekanan sosial
diumur segini yang gue pikirin gimana karir gue lebih bagus kedepannya ga ada cinta didalamnya gue ga takut buat ga nikah ga takut buat sendirian,tekanan sosial
awalnya kaget sama job mereka tapi yang bikin lebih kaget adalah umur chan hwan thn kirain an lah aku takut bgt jadi penghalang di hub nya sama jiwon padahal mereka cocok visi misi nikah nya pas tapi age gap th,tekanan sosial
mimpi nikah sama temen sendiri kocak untung cuma mimpi takut bgt gw,tekanan sosial
lbh ke takut lose myself deh kalo nikah entah itu tuntutan suami atau krn diri kita sendiri,tekanan sosial
iyasih kak kek aneh gasih kalo temenan dulu kan siapa tau nyaman tapi kalo nyaman ntar jg susah sih takut pacarannya karena takut bakal ngerusak hubungan wkwkwk mending htsttmbestie trus ntar tiba tiba nikah awokawokawok,tekanan sosial
halhal yang kayak gini yang bikin bahaya jadi banyak orang yg takut nikah padahal nikah itu sunnah rasulullah saw,tekanan sosial
pagipagi rapihin bayi bogel biar masuk kandang diliatin mamak mmk lu mendingan nikah urus anak beneran takut gila aja gue mah aku maak lu gatau anak bogel ini hasil dari pernikahan gue dengan bapaknya mmk tuhkan udah muncul gejalanya,tekanan sosial
jogging gagal ngapain ya kl bengong takut kepikiran kapan nikah,tekanan sosial
iyaa lagi gua ngeliat mbak ipar gua jg gitu jadi takut ntar gua nikah digituin juga,tekanan sosial
ya emang kenapa kalo tujuan hidupku ngonser ngga semua org tujuan hidupnya nikahdengan banyaknya luka yg aku terima dr keluarga kadang bikin aku takut nikah dan gamau punya keluarga yg sama kaya keluargaku sekarang ini,tekanan sosial
joongdunk gk usah balik ke thai kalau belum nikah boleh gk sih takut asing lagifkjd fm in nyctheheartkillersfminnewyorktheheartkillersusandlatamtour,tekanan sosial
numpang curhat guys aku sering mimpi yg beneran jadi kenyataan loh makanya aku takut bgt tiap mimpi pasti kebangun dan degdegan gt ini contohnya aku mimpi temenku nikah sama temenku jg di tahun nah tahun ini mereka beneran nikah bulan juni ini,tekanan sosial
takut kangen mama kalau nikah,tekanan sosial
bginian yg bkin gua takut nikah pemikiran ipar ipar yg begini nih hrus bgt berushaa buat dptin hati lo jd ipar aja emg yg ga berbaik hati kali ah org baik mah gaperlu dieffortin baru bs memperlakukan iparnya sprti keluarga sndiri,tekanan sosial
lebih takut ditanya kapan nikah atau kapan lulus,tekanan sosial
dongju kalo nikah sama hanna bakal kyk suami takut istri kyknya dia kalo buat salah setakut itu ketemu hanna tp ttp bucin mampus,tekanan sosial
udah dua kali di curhatin temen yang mau cerai gimana ga makin takut nikah coba,tekanan sosial
stlh liat gmn keluarga ayahku ga suka sama ibuku even udah nikah aku jg takut nder pdhl udah berusaha jd mediator tetep aja ibuku bersalah disudut pandang mrk gwa yg jd anak dr kedua belah pihak ga enak sndr kan,tekanan sosial
ih takut gak usah nikah aja apa ya gw,tekanan sosial
aku malming ini nonton sore istri dari masa depan yg bikin bagus tu karakter sore nunjukin rasa sayangnya ke suaminya tu ga lewat kata tapiii dari tatapan pas akhirnya waktu ngakhirin itu semua aku nangis by tbtb bgt jadi takut kehilangan suami padahal saya blm nikah,tidak percaya pasangan
tapi kenapa anaknya dibiarin nikah ama orang lain yg jelas bukan saudara kandung ga sekalian inses takut dosa anjir,tekanan sosial
hari ada aja gebrakan dari si seungyoun gw kdg takut dia tbtb ngajak nikah lah,tekanan sosial
kadang mikir nanti kalo nikah langsung pengen pindah rumah jauh dari keluarga dan sodara sodara karna itu salah ketakutan aku takut nanti pas nikah gak diterima sama keluarga nya atau malah dijulidin terus kepikiran pengen pindah ke tempat atau bahkan ke negara yg sepi,tekanan sosial
capek baru balik dri ladang dan belum sempat duduk gue udh disuruh baralekhajatan lagi anjir peliss udh hari gue harus nganterin ini mulu huaaa takut ditanya nikah,tekanan sosial
b deh takut tiba tiba ditanyain kapan nikah,tekanan sosial
ini bener banget setelah nanganin ratusan client face reading aku sadar bahwa ada banyak perempuan di luar sana yang milih bertahan dengan cowok toxic karena takut ga nemu pengganti dan berujung telat nikah padahal bilang nggak di awal bisa nyelamatin kalian dari banyak hal,tekanan sosial
aku blm nikah takut suami masa depan gabisa nerima aku yg gini punya bekas luka jahitan kemungkinan buat kambuh balik tapi cerita ke temen ttg kekhawatiranku ini katanya berarti suamimu bkn orang yg baik iyaaa aku takut dapet yg begitu,trauma masa lalu
berati cowok jaman skrg coblos sana sini ya takut ancrit gue nikah sm fot ajalah,tekanan sosial
mungkin kali ya tp tetangga ku ga dibolehin krna alesan nya masih muda dan anak baru katanya takut nya nanti kenapa kek suami nya meninggalcerai trs mau nikah lagi,tekanan sosial
gua lebih takut sama fans itu kalo mendadak t nikah dan bukan sama si onoh terus istrinya dihujat,tekanan sosial
makin kesini makin sadar kenapa banyak orang ceraitakut nikah soalnya mereka ngeliat ngikutin standar orang lain yang sebenernya mereka udah puas sama kehidupannya tapi jadi ga puas karena kebanyakan makan standar nyeleneh di medsos ini,tekanan sosial
makanya jadi keluarga yg baik pilih calon suami yg dibesarin dr org tua yg baik lingkungan yg baik klo perlu yg paham agama sekalian biar takut klo mau berbuat jahat merendahkan manusia klo lu nikah asal ada yg mau tanpa lihat mikir background klwrga yaa siap aja,tekanan sosial
kok cewe bisa ya nikah tp gak kerja gitu apa ga takut direndahin keluarga nya atau sosial di jaman sekarang yg kesetaraan gender cewe gak kerja bukan nya dianggap beban ya apalagi yg udah ada gelar nya,tekanan sosial
perempuan sekarang ga mau diajak hidup susah me dalem hati kalo masih susah jangan nikah bang jangan ngajak anak orang hidup susah mau ngingetin takut tbh panjang omongannya,tidak percaya pasangan
takut salah nanti digodain gajadi nikah,tekanan sosial
nikah ga takut,tekanan sosial
mau jdi ibu tanpa punya suami plis takut nikah soalnya,tekanan sosial
gw sekolahin sampe gw cuma cuti kali dalam tahun malah kabur sama pacarnya karna ngebet nikah sederhana sih ujian nya cuma mau bundir takut masuk neraka,trauma masa lalu
nikah sih ga takut tapi ngejalaninnya,tekanan sosial
udh lama gak ngeyapping akhir ini lg sibuk dgn chatan org yg mungkin bisa dibilang gak gua sukak bgt knp gua selalu salah setiap mau kenal sama org selalu ada aja gebrakannya ada aja yg harus gua terima bosen bgt jomblo tp klo pacaran sampe nikah takut hamil capek plis deh,trauma masa lalu
dibawa nikah aja kata akutakut hamil luar nikah nanti,tekanan sosial
dari chat berarti si cowo sengaja bangun rumah sebelum nikah karena dia pengen punya dua kamar ekstra untuk keperluan nya sendiri soalnya kalau dibangun setelah nikah takut ribet sama istrinya terus jaga takut rumahnya di anggap harta gono gini semisal cerai padahal dia,tekanan sosial
ya banyak sih buku w tapi u sendiri ngesok mulu gitu dikira keren apa cringe bgt maaf bentar lagi w mau nikah ham nanti w kasih undangan nya kalau lu mau datang mending gausah nanti lu makin gamon sama gue ham intinya kalau lu sok jagoan terus cewek takut sama lu,tekanan sosial
takut ih nanti pas nikah penghulunya juga gen z trus lebih ganteng kek mana tukeran posisi boleh kah,tekanan sosial
suaminya bisa provide yang cukup bahkan lebih kali aku juga niat gak kerja pas udah nikah sama doi kok terus kenapa cewek harus takut direndahin keluarga atau sosial padahal kan bukan kewajiban juga sosial yang mana juga yang merasa independent women kah no i need a man,tekanan sosial
kalau aku sih gak takut karena nikah itu kan tujuannya ibadah,tekanan sosial
sadar ga sih ketikan lu bs nyakitin org lain yg baca yg mungkin ada diposisi mau kerja tp belum dpt kerja mau nikah pun tp jg belum dpt kerja akhirnya baca cuitan lu ini bikin insec takut dan ovt klo lu cwe yg udh kerja semoga ga direndahin dlm hal lain jd beban lainnya deh,tekanan sosial
apaan sih update dikit bgt lagi gakkk takut boring kalau emang mau liat kisah mereka sebelum nikah bolee banget tellonym,tekanan sosial
kalo suaminya aku itu kamu aku ga bakalan takut nikah,tekanan sosial
kamu aja kali yang terlalu mikirin pendapat orang lain takut dijudge justru yang aneh itu kenapa cewe udah nikah ngurus rumah anak suami tapi masih tetep kerja juga,tekanan sosial
biasanya emak pacar yg pola pikirnya aneh banyak org tua yg anggap anaknya investasi jangka panjang jadi takut kalo anaknya nikah ga ngasi duit lagi untung mak gw ga begitu orangnya,tidak percaya pasangan
takut tbtb bsk diajak nikah masi duluan y,tekanan sosial
ngapain takut direndahin asal kamu tau yaa kebanyakan wanita disini jg sblm punya anak mrk kerja bukan yg nikah lgsg nganggur bahkan ada yg jd wanita karir setelah punya anak semua tergantung situasi dan kondisi,tekanan sosial
jujur aku pun takut nikah gegara ini kak ibuku juga takut aku dapet keluarga yang kurang tepat karena aku juga ga begitu pandai dalam pekerjaan rumah tapi aku mau usaha kok yaa kalo emang pas nikah disuruh urus rumah sama suami doang,takut gagal membangun keluarga
iyap indo seimbang kok orang pinternya juga ga seberapa jangan takut ato ngamuk kalo ada yang bilang mau childfree masih ada remaja naif yang hamidun terus society yang despise orang yang gamau nikah dan nganggep hamidun tahtanya lebih mulia ketimbang childfree,tidak percaya pasangan
oh ya ibu kos ku cantik bgt walaupun di usia nya yg udah ga muda masih jadi pertanyaan besar knp dia memilih ga menikah smpe mau keluar kos ini masih blm tau jawabannya apa apa karena dia lebih bahagia sendiri atau malah ada trauma sebelumnya,trauma masa lalu
skrg pengen yg ngga berhijab berhijabnya nanti stlh menikahada perempuan berhijab dlm hidup yg bikin trauma soalnya,trauma masa lalu
menikah tapi gada rasa percaya ada trauma apa itu temen kantormu kak smpe sgitunya,trauma masa lalu
rumit ga rumit inti permasalahannya masi seputar trauma minder daru and ribetnya budhe juno permasalahan hubungan always konfliknya happy ending menikah,trauma masa lalu
jangan di tiru menjadi gay itu cobaan bisa jadi karena trauma masa kecil atau hubtak sehat sblmnya fitrah kita tetap menikah dengan lawan jenis tapi yang pasti di alam kubur banyak yg menantikan hari kiamat tiba jadi gak usah panik tujuan hidup itu memperoleh amal kbaikan,tidak percaya pasangan
menikah tapi gada rasa percaya ada trauma apa itu temen kantormu kak smpe sgitunya,trauma masa lalu
semenjak saat itu gue takut banget menikah bukan karna takut diselingkuhin tp lebih kepada takut ditinggal meninggal liat nyokap yang kehilangan arah kehilangan temen ngobrol dan banyak hal yang harus diikhlasin itu bikin hancur dan trauma banget,trauma masa lalu
menikah menikaj trauma,tekanan sosial
aku lihat cuplikan banner lads yang baru habis menikah kok pada passionate sekali ciumannya guys aku habis menikah malah trauma talk karena aku yakin tidak ada yang lebih intim daripada membuka diri dan menceritakan trauma sikap,trauma masa lalu
rl kalian ada ga sih yg sebenernya pingin nikah dan ada bayangan punya keluarga yg bahagia tp krn beberapa hal termasuk trauma buat kalian malah takut utk menikah aku tahun sbnernya blm ada keinginan utk menikah gmn ya kalau semisal ditanya sama keluarga trs,trauma masa lalu
cukup bikin anak trauma berpikiran kalau nanti hidupnya pasti bakal berat juga ketika mereka sudah menikah lalu punya anak sampai ketika dewasa mereka belum bisa mengontrol emosi dan mindset akhirnya memilih untuk childfree bahkan sampai memilih utk tidak menikah,trauma masa lalu
gaji ga sesuai sama biaya hidup mbut ga cuma trauma kdrt aja financial selalu jadi momok buat pasangan yg mau menikah udh menikah,alasan ekonomi
sempat lost spark waktu dapat qiqi c tapi kayaknya itu lebih ke trauma wkwk sekarang udah balik lagi dan menikah dengan skirk,trauma masa lalu
lucu banget tibatiba my mom tanya kapan target aku menikah wkwk beliau takut aku punya trauma karena melihat pernikahan beliau dengan papa aku yang cukup awikwok,trauma masa lalu
aamiin semoga kita bisa menikah dan naik ikan wkwkwkwk benerbener bikin trauma ceweknya enih si ayel,trauma masa lalu
its okay kak gue juga takut menikah karena ada trauma pelecehan lagian akhir dari perjalanan hidup bukan untuk menikah aja tetep lakuin hal positif dan bermanfaat terus selama kita hidup dan terus berserah diri ke sang pencipta,tidak percaya pasangan
kata abun ttm beb teman tapi menikah atau teman tapi mangu wkwkw feeling aku iya sih lagi pdkt cuma mungkin gaberani go publik karena aca masi trauma gara cowok sebelumnya nitizen gasi yg jelas duanya kayaknya dah ngerasa nyaman,tekanan sosial
